<ГЛАВА 1: НОВОБРАНЕЦ>          |1)Начать главу |1 | 
Как только ты захотел задать вопрос друид замолк и открыл глаза. Ты насторожился.*Друид повернулся в твою сторону и резко подошел к тебе. Смотря своими зелеными глазами, как спелые яблоки, он заговорил: - Я знаю о чем ты хочешь узнать, Харт. Я давно жду когда ты решишься ко мне зайти.*Ты замер. Твое сердце стучало так быстро как могло. Друид отодвинулся от твоего лица, и произнес: - Ты пришел узнать светит ли тебе в любви, Харт?          |1)Да 2)Откуда вы знаете моё имя? 3)Откуда вы знаете, что я хочу узнать? |59 63 63 |
Друид улыбнулся и сказал: - Любовь.. Тебя ждет прекрасная любовь. Но только в том случае если ты выберешь ту самую, Харт.*Ты посмотрел на друида вопросительным взглядом. Та самая? Кто же она? - эти вопросы ты задал сам себе в голове.*Друид сел напротив своего котла, закурил трубку и сказал: - Не ищи ее Харт, она сама тебя найдет. Тебе лишь нужно понять что это она. - друид перевел взгляд на тебя.*- Мое имя Гор. А тебе кажется, пора идти, верно? - сказал Гор.*Ты замешкался и вспомнил что тебе и правда пора. Ты попрощался с друидом и ушел.*Когда ты уходил, друид проводил тебя взглядом и тихо произнес: - Твой путь только начинается, герой.          |1)Поспешить на собрание |57 |
Как только ты захотел задать вопрос друид замолк и открыл глаза. Ты насторожился.*Друид повернулся в твою сторону и резко подошел к тебе. Смотря своими зелеными глазами, как спелые яблоки, он заговорил: - Я знаю о чем ты хочешь узнать, Харт. Я давно жду когда ты решишься ко мне зайти.*Ты замер. Твое сердце стучало так быстро как могло. Друид отодвинулся от твоего лица, и произнес: - Ты хочешь узнать кем ты станешь в племени Тумана, Харт?          |1)Да 2)Откуда вы знаете моё имя? 3)Откуда вы знаете, что я хочу узнать? |61 64 64 |
Друид улыбнулся и сказал: - Наше племя потерпит много неудач, сменятся лидеры один за другим. Но когда нибудь, придет он и Туманное племя станет великим.*Ты посмотрел на друида вопросительным взглядом. Кто же придет? Кто этот он? - эти мысли пробежали в твоей голове мельком.*Друид сел напротив своего котла, закурил трубку и сказал:- Мое имя Гор. А тебе кажется, пора идти, верно? - сказал Гор.*Ты замешкался и вспомнил что тебе и правда пора. Ты попрощался с друидом и ушел.*Когда ты уходил, друид проводил тебя взглядом и тихо произнес: - Твой путь только начинается, герой.          |1)Поспешить на собрание |57 |
Друид молча пригласил жестом сесть тебя рядом с котлом. Ты садишься на против друида. Он закуривает трубку и говорит: - Я знаю все. Знаю все то, что не знает ни кто.*Друид повернулся в твою сторону и посмотрел тебе прямо в глаза.*- Твоя судьба куда интереснее судьбы других котов. Но путь твой будет трудным. Много потерь, но и не мало приобретений.*Ты задумался о том, как пройдет твой путь? Чего тебе ожидать? Ответа в твоей голове конечно не было.*Вдруг друид заговорил: - Мое имя <Гор>. А ты кажется, должен идти.*Ты замешкался и вспомнил что тебе и правда пора. Ты попрощался с друидом и ушел.*Когда ты уходил, друид проводил тебя взглядом и тихо произнес: - Твой путь только начинается, герой.          |1)Поспешить на собрание |57 |
Друид молча пригласил жестом сесть тебя рядом с котлом. Ты садишься на против друида. Он закуривает трубку и говорит: - Я знаю все. Знаю все то, что не знает ни кто.*Друид повернулся в твою сторону и посмотрел тебе прямо в глаза.*- Любовь сама тебя найдет, Харт. Скоро ты встретишься с ней, но тебе будет нужно понять самому что это она.*Ты задумался о том, как понять что это она? Ответа в твоей голове конечно не было.*Вдруг друид заговорил: - Мое имя <Гор>. А ты кажется, должен идти.*Ты замешкался и вспомнил что тебе и правда пора. Ты попрощался с друидом и ушел.*Когда ты уходил, друид проводил тебя взглядом и тихо произнес: - Твой путь только начинается, герой.          |1)Поспешить на собрание |57 |
Друид молча пригласил жестом сесть тебя рядом с котлом. Ты садишься на против друида. Он закуривает трубку и говорит: - Я знаю все. Знаю все то, что не знает ни кто.*Друид повернулся в твою сторону и посмотрел тебе прямо в глаза.*- Наше племя ждет и взлеты и падения. Лидер сменится один за другим. Но однажды придет тот, кто поднимет Туманное племя. Поднимет его величие.*Ты задумался о том, кто же окажется на месте нынешнего лидера. Ответа в твоей голове конечно не было.*Вдруг друид заговорил: - Мое имя Гор. А ты кажется, должен идти.*Ты замешкался и вспомнил что тебе и правда пора. Ты попрощался с друидом и ушел.*Когда ты уходил, друид проводил тебя взглядом и тихо произнес: - Твой путь только начинается, герой.          |1)Поспешить на собрание |57 |
Ты промолчал. Друид отодвинулся от твоего лица и сказал: - Не бойся говорить о своих желаниях, Харт. Я отвечу на твой вопрос, но только на один. Но сначала, давай познакомимся. Ты ведь не знаешь моего имени, верно?- друид мельком улыбнулся.          |1)Я не знаю твоего имени. Но ты знаешь моё... |36 |
Ты отказываешься от трубки. Друид не настаивает и начинает курить. Ты чувствуешь запах табака смешанного с какими то травами. Смотря как горит огонь на костре друид проговорил: - Меня зовут <Гор>. Я знаю все то, чего не знает ни один кот племени Тумана.*Гор покурил из трубки еще раз. - Я могу предсказать будущее. Увидеть прошлое. И просмотреть настоящее.*Речь Гора завораживала тебя. Он говорил спокойно, но с загадкой.*- Задавай свой вопрос, Харт. Но помни, только один вопрос. - сказал друид покуривая из трубки.*Ты задумался. Что бы спросить у Друида?          |1)Спросить о судьбе 2)Спросить о любви 3)Спросить о племени |67 68 69 |
- Тебе интересна судьба? - спросил Гор. Друид близко пододвинулся к тебе и сказал: - Загляни в котел и подумай о своей судьбе.*Ты подошел к котлу и заглянул в него. Через мгновение ты стал видеть картинки в воде. То яркие, то тусклые картинки появлялись и исчезали.*- Сосредоточься Харт. Твои мысли заполняют пространство. Тебе нужно сосредоточиться на судьбе. - громко сказал друид.*Смотря в котел ты стал различать картинки. Ты увидел себя.*Увидел как тяжело, но в мгновение картинка сменилась и тебе уже было легко.*Увидел как родители счастливы, но потом увидел их слезы.*Ты отошел от котла. Ты был напуган и удивлен одновременно.*Гор положил свою руку тебе на плечо и сказал: - Твоя судьба зависит от тебя Харт. Твой выбор повлияет на то, кем ты станешь.*Ты посмотрел в сторону друида.*Гор отошел от тебя и занялся своими делами.*Пора идти на собрание.          |1)Поспешить на собрание |40 |
- Тебе интересна любовь? - спросил Гор. Друид близко пододвинулся к тебе и сказал: - Загляни в котел и подумай о любви.*Ты подошел к котлу и заглянул в него. Через мгновение ты стал видеть картинки в воде. То яркие, то тусклые картинки появлялись и исчезали.*- Сосредоточься Харт. Твои мысли заполняют пространство. Тебе нужно сосредоточиться на любовных связях. - громко сказал друид.*Смотря в котел ты стал различать картинки. Ты увидел себя.*Увидел как ты обнимаешь какую то девушку, но потом появляется другая картинка - ты сидишь у могилы.*Увидел как предали тебя, и как предал ты.*Ты отошел от котла. Ты был напуган и удивлен одновременно.*Гор положил свою руку тебе на плечо и сказал: - Твоя жизнь и любовь зависит от тебя, Харт. Если выберешь ту, что действительно судьбой была создана для тебя проживешь счастливо.*Ты посмотрел в сторону друида.*Гор отошел от тебя и занялся своими делами.*Пора идти на собрание.          |1)Поспешить на собрание |40 |
- Тебе интересна судьба твоего племени? - спросил Гор. Друид близко пододвинулся к тебе и сказал: - Загляни в котел и подумай о племени.*Ты подошел к котлу и заглянул в него. Через мгновение ты стал видеть картинки в воде. То яркие, то тусклые картинки появлялись и исчезали.*- Сосредоточься Харт. Твои мысли заполняют пространство. Тебе нужно сосредоточиться на племени. - громко сказал друид.*Смотря в котел ты стал различать картинки. Ты увидел себя.*Увидел как коты и кошки твоего племени заболевают, но в тот же миг картинка сменяется и ты видишь как сменяется лидер.Увидел чью то смерть и предательство, но на другой картинке ты увидел рождение детей и крепкие узы.*Ты отошел от котла. Ты был напуган и удивлен одновременно.*Гор положил свою руку тебе на плечо и сказал: - Судьба нашего племени зависит во многом от тебя и других новобранцев. Старайся идти по верному пути, Харт. Тогда не увидишь болезней, смертей и боли.*Ты посмотрел в сторону друида.*Гор отошел от тебя и занялся своими делами.*Пора идти на собрание.          |1)Поспешить на собрание |40 |
- Тебе интересна любовь? - спросил Гор. Друид близко пододвинулся к тебе и сказал: - Сейчас сам увидишь что тебя ждет.*Гор коснулся пальцем твоего лба. Твои зрачки расширились и перед глазами стали бежать картинки.*Ревность.*Отчаяние.*Поиск.*Желание.*Искренность.*Потеря.*Слишком ярко и красочно, что от иллюзий у тебя заболела голова. Твой разум затуманился и ты упал на землю.          |1)Очнуться |39 |
- Тебе интересно будущее племени? - спросил Гор. Друид близко пододвинулся к тебе и сказал: - Сейчас увидишь своими глазами.*Гор коснулся пальцем твоего лба. Твои зрачки расширились и перед глазами стали бежать картинки.*Падение.*Война.*Силы.*Болезнь.*Новый взгляд.*Смена.*Слишком ярко и красочно, что от иллюзий у тебя заболела голова. Твой разум затуманился и ты упал на землю.          |1)Очнуться |39 |
Ты решил не толпиться вместе со всеми, а постоять в стороне.*Облокотившись на ближайшее дерево ты стал ждать и наблюдать за происходящим.*Молодые коты толпились и разглядывали друг друга. Кто - то знакомился, а кто - то уже пришел вместе с друзьями.*Ты заметил как с каждой минутой прибавляются новобранцы и просто обычные жители Туманного племени. Всем было интересно послушать речь лидера.*Вдруг, ты услышал звук рога.          |1)Обратить внимание |8 |
Ты решил осмотреться пока есть время.*Центр Туманного племени по истине красивое место. По территории выложен большой круг из камней, а в самом центре умелые мастера вырезали <знак племени Тумана> - Туманное облако с еле выглядывающими глазами. Остальные камни уменьшались. Чем дальше от центра, тем они меньше. По диаметру этого круга вели дорожки в разные места - торговая площадь, шатер друида, к лечебнице и к другим местам.*Возле каменного круга находился большой дуб под которым стоял пьедестал. На этом пьедестале как раз должна выступить с речью лидер Туманного племени.*По центру толпилось много котов, кошек и детей.          |1)Осмотреть пьедестал 2)Осмотреть большой дуб |6 74 |
Дуб стоял величественно и гордо. Его ствол был мощный, а крона густой и раскидистой.*Листья дуба немного опадали и медленно летели вниз на землю. Со стороны это выглядело красиво и завораживающе. Под дубом стояли друиды и исписывали его ствол белой краской. Они обновляли старые узоры которые уже были нанесены когда - то давно.*Резко и неожиданно твои наблюдения прервал звук рога.          |1)Обратить внимание |8 |
Ты киваешь Тео в ответ. После чего он разворачивается и уходит по своим делам.*На пьедестал гордо и утонченно выходит <Ваако> - правая рука лидера Туманного племени. Он медленно подходит к краю пьедестала и осматривает своим взглядом толпу новобранцев. Его желтые глаза, будто ослепляющее солнце смотрят в толпу.*Спокойным и монотонным голосом он произносит:*- Новобранцы! Я рад приветствовать Вас как новых героев нашего племени. Примите мои поздравления и пожелания успеха на этом пути!          |1)Осмотреть внешность Ваако 2)Продолжать слушать |10 12 |
Ты игнорируешь Тео, на что тот просто пожал плечами и ушел по своим делам.*На пьедестал гордо и утонченно выходит Ваако - правая рука лидера Туманного племени. Он медленно подходит к краю пьедестала и осматривает своим взглядом толпу новобранцев. Его желтые глаза, будто ослепляющее солнце смотрят в толпу.*Спокойным и монотонным голосом он произносит:*- Новобранцы! Я рад приветствовать Вас как новых героев нашего племени. Примите мои поздравления и пожелания успеха на этом пути!          |1)Осмотреть внешность Ваако 2)Продолжать слушать |10 12 |
Сивилл неловко убрал протянутую руку и сказал: - Очень рад познакомиться с тобой, Харт.*Вы шли по дороге вместе и вдруг Сивилл решил спросить: - ты знал что наш отряд называется Коготь?*Ты помотал головой, давая понять что не слышал название отряда.*- О,а я услышал разговор Касса и Зигорда. Они говорили о названиях отряда. Кстати, отряд Касса называется Шрам, а Зигорда - Лист. - Сивилл заметил что говорит слишком много и остановился.*Вдруг он сказал: - Название нашего отряда мне нравится больше.          |1)Согласиться 2)Спросить, что Сивилл знает про другие отряды |17 78 |
Сивилл задумался. Но в тот же миг ответил: - Я не очень много знаю о других отрядах, но кое что мне известно о наставниках. Про кого хочешь узнать подробней?*Идя по дороге ты подумал, о ком бы хотел узнать больше. Ты понимал что послушать историю можно только про одного наставника, так как скорее всего это займет весь оставшийся путь.          |1)Узнать больше о Кассе 2)Узнать больше о Зигроде |79 80 |
Ты попросил Сивилла рассказать тебе побольше о Кассе.*- Тогда навостри свои уши, и слушай внимательно! - с загадочной улыбкой сказал Сивилл.*- Говорят что Касс очень чуткий и добрый наставник, готов всегда помочь своим новобранцам. Чаще всего к Кассу отправляют тех, кто по итогу станет не героем или воином, а защитником территории или друидом. Но и из отряда Касса есть выходцы которые стали героями. Например, один из сыновей Роя - <Дон>. Он является одним из героев племени Тумана.*Ты бы хотел узнать, как выглядит Дон, но героев племени редко встретишь прогуливаясь по территории племени Тумана. Они очень занятые и всегда находятся за территорией.*- Еще есть героини <Халиса> и <Белена>, но они обе обучались у Зигорда. Наверно поэтому они очень строги.*Вы с Сивиллом переглянулись и вдруг ты заметил что вы уже на подходе к холму.          |1)Идти к месту |18 |
Ты попросил Сивилла рассказать тебе побольше о Зигорде.*- Тогда навостри свои уши, и слушай внимательно! - с загадочной улыбкой сказал Сивилл.*- Зигорд очень строгий наставник, даже строже чем Улль. Мой старший брат, Эррон, обучался у него. Рассказывал мне, как Зигорд строго и жестко тренирует каждого новобранца. А если видит слабое звено - не оставляет в своем отряде! Кстати двое нынешних героев - <Халиса> и <Белена>, обучались у Зигорда. А третий, <Дон>, обучался у Касса.*Ты немного поежился.*Сивилл продолжил рассказывать: - Я очень надеялся что не попаду к Зигорду. И о да, я был услышан Небесными Богами и попал к Уллю!*Говорят, Зигорд один из тех кто владеет техникой ножевых бумерангов. - прошептал Сивилл.*Ты был удивлен, потому что слышал слух о том что и Ваако владеет такой техникой, но подтверждений не было.*Ты уточнил у Сивилла слух это или есть доказательства, Сивилл шепотом продолжил говорить: - я думаю что Зигорд правда владеет ножевым бумерангом, так как не раз его видели с ним в руках. К тому же, он часто навещает искусного мастера ножевых бумерангов - <Аравия>. Я сам его видел, когда гулял по Торговой площади.*Тебе стало интересно, правда ли Зигорд владеет ножевыми бумерангами? Но твою мысль резко перебил Сивилл: - О! Мы уже почти пришли, Харт!          |1)Идти к месту |18 |
- О, ты не хочешь представиться. Ладно, извини. Возможно я очень резко к тебе подошел. - виновато сказал Сивилл.*Ты продолжал молча идти по дороге.*Сивилл решил что не будет докапывать тебя и просто молча шел рядом с по дороге, иногда поглядывая на тебя.          |1)Дойти в тишине 2)Представиться |82 83 |
Ты решил что молча дойдешь до места назначения. Всю оставшуюся дорогу Сивилл шел рядом с тобой.          |1)Дойти до места |18 |
Сивилл заулыбался и сказал: - Если ты желаешь молча дойти до холма, я не против.*Ты подумал как хотел бы провести путь, и решил что:          |1)Отказаться от беседы 2)Поговорить с Сивиллом |82 84 |
Ты сказал Сивиллу что желаешь с ним пообщаться. Он был рад что может начать разговор и сразу затараторил: - ты знал что наш отряд называется <Коготь>?*Ты помотал головой, давая понять что не слышал название отряда.*- О,а я услышал разговор Касса и Зигорда. Они говорили о названиях отряда. Кстати, отряд Касса называется <Шрам>, а Зигорда - <Лист>. - Сивилл заметил что говорит слишком много и остановился.*Ты кивнул головой, намекая Сивиллу что слушаешь его дальше.*- О, я немного знаю о Кассе и Зигорде. Хочешь расскажу о ком то из них? - вопросительно спросил Сивилл.          |1)Узнать больше о Кассе 2)Узнать больше о Зигроде 3)Поговорить на другие темы |79 80 85 |
Ты отказался слушать о наставниках. Сивилл ни капли не расстроился а лишь проговорил: - Ладно, у меня есть истории куда интереснее этих!*Все оставшееся время ты и Сивилл шли по дороге обсуждая разнообразные темы.          |1)Идти к месту |18 |
Ты решил рассмотреть толпу. Оказалось, что в новобранцы шли не только коты, было и пару кошек.*Все были примерно одного возраста и тебя это почему то радовало. Ты заметил как некоторые коты стоят в сторонке и не подходят в толпу. Интересно, почему?*Кто - то уже организовался кучками и общаются в стороне, а кто - то как ты осматривает других.*Неожиданно прозвучал звук рога. Все умолки и наступила тишина.          |1)Обратить внимание |8 |
Сивилл положил тебе руку на плечо и сказал: - Могу научить тебя, если хочешь.*- Но тогда я стреляю первым! - с улыбкой сказал он.*Ты согласился. Все равно стрелять ты не умел, поэтому первым быть не рвался.*Сивилла прервал Улль, когда подошел и сказал: - Первыми будут стрелять Хантер и Бьерд, они первая пара. А ты и Харт третьи по счету. Так что не торопись Сивилл.*Сивилл пожал плечами и стал ждать своей очереди.          |1)Посмотреть как стреляют другие 2)Подождать своей очереди |24 88 |
Ты решил не наблюдать за тем как другие стреляют а поболтать немного с Сивиллом.*Ты и Сивилл стояли возле скамейки, легкий и редкий ветерок колыхал шерсть и усы.*Солнце светило так ярко, что даже ослепляло если совсем немного на него посмотреть.*Сивилл рассказывал тебе разнообразные истории из своей жизни, а ты рассказывал ему. Вы смеялись и иногда поглядывали на других котов.*В скором времени вас двоих окликнул Улль: - Сивилл и Харт, вы следующие!          |1)Пройти к мишени |26 |
Ты решил не поднимать руку и посмотреть кто решиться выйти на бой с Хантером.*Одновременно подняли руку Сивилл и Уна. Ты был удивлен решимости Сивилла.*- Хорошо, с кем из них ты хочешь провести бой, Хантер? - спросил Улль.*Хантер с хитрой улыбкой сказал: - Сивилл будет моим оппонентом.*Уна подняла брови и с издевкой сказала: - Выбираешь оппонента по слабее Хантер? Боишься что я надеру тебе задницу?*- Ты девчонка, Уна. С тобой будет слишком легко. - сказал Хантер огрызаясь.*- Да ну. Сейчас я тебе покажу как со мной легко! - сказала Уна и подошла к Хантеру в упор.*- Уна, пожалуйста.. - не успел договорить Улль, как Хантер его перебил: - Уна. Я выбираю Уну в оппоненты.*- Хорошо.. Как будете готовы начать - начинайте! - сказал Улль.*Первый удар нанесла Уна, но Хантер успел защититься. Еще удар и еще. Каждый удар Уны Хантер блокировал и смеялся ей в лицо. От злости Уна сказала: - Что Хантер, так и будешь блокировать мои удары? Или же покажешь чего ты стоишь на самом деле?*Хантер ухмыльнулся и нанес удар сверху. Уна парировала удар и толкнула Хантера ногой.*Хантера взяла злоба. Он начал ускорять свои удары. Ловкая Уна уклонялась и парировала каждую атаку Хантера, а когда подловила момент снесла Хантера с ног.*Хантер не вставал. Он слишком сильно выдохся.*- 3..2..1.. Уна победила! - сказал Улль.*Уна нависла над лицом Хантера и сказала: - Да, я девчонка.*Улль поднял Хантера на ноги и довел до скамьи.          |1)Наблюдать дальше |90 |
Хантер сел на скамью и сказал: - Не думал что меня победит какая то девчонка..*- Тебе что нибудь нужно из аптечки? - уточнил Улль.*- Нет, спасибо.. - резко ответил Хантер.*Ты заметил как Уна стояла подальше от скамьи и смотрела в сторону Хантера. Она посмотрела на тебя позвала тебя одним пальцем.*Ты удивился и ткнул пальцем себя в грудь, таким образом задавая вопрос: - Я?*Уна кивнула.          |1)Подойти к Уне |91 |
Ты направился к Уне.*Когда ты подошел к ней, она сказала: - Если бы вышел твой друг, то он бы оказался в лечебнице.*Ты посмотрел на Сивилла сидящего на скамье рядом с другими. Ты заметил, что Сивилл был рад тому, что все таки не он вступил в бой с Хантером.*Ты спросил Уну что такая опытная кошка как она, забыла в отряде новобранцев. Уна улыбнулась и сказала: - Это был спор с отцом. Он думал что я не выдержу и дня в отряде Зигорда. Но отец не подумал о том, что я могу попасть к Уллю. Или вообще к Кассу.*Ты смотрел на Уну и слушал.*- Дам совет, Харт. Не лезь в драку с такими как Хантер. Даже если эта драка тренировочная, ты можешь пострадать. - серьезно сказала Уна.*Резко ты услышал голос Улля: - Собираемся назад, время показать Вам наши границы и где вы будете патрулировать!*Ты и Уна вернулись назад к скамье. Уна ушла за своими вещами оставив тебя одного, но перед этим сказала: - Совет Харт. Запомни его, пока не наберешься опыта.*Ты подошел к Сивиллу и вместе с ним собирался в дорогу.          |1)Закончить игру на этой главе 2)Перейти к следующей |31 123 |
Ты выходишь на торговую площадь.*Кругом палатки с разнообразным товаром. Еда, одежда, оружие и многое другое. За палатками стоит здание обмена. Ты раздумываешь над тем, прикупить ли тебе что нибудь на торговой площади? Или зайти в здание обмена?          |1)Пройтись по торговой площади 2)Зайти в здание обмена |93 104 |
Ты решаешь потратить свое время на прогулку по торговой площади. Вокруг тебя много красивых и интересных палаток. Торгаши зазывают и завлекают мимо проходящих людей к своим палаткам.*Тебя заинтересовала палатка с:          |1)Едой 2)Одеждой 3)Оружием 4)Алхимией 5)Книгами |94 100 101 102 103 |
Возле палатки с едой смешиваются запахи свежей выпечки, овощей, фруктов и даже мяса.*Запахи еды привлекли твое внимание. Ты почувствовал легкий голод.*Из разнообразного количества еды на прилавке, тебя больше всего привлекло:          |1)Томлёная курица с картофелем 2)Пышная булочка с изюмом 3)Высушенные мышинные уши 4)Рыба в меду |95 97 98 99 |
Ты обратил внимание на томленую курочку с картофелем. Она выглядела сочно и очень вкусно пахла.*Куриная ножка была покрыта золотистой корочкой и посыпана зеленью.*Зеленый огурчик лежащий рядом с картофелем выглядел сочно и свежо.*Ты проверил свои карманы и обнаружил пару лунар. Тебе хватало на покупку блюда.          |1)Купить 2)Посмотреть что-нибудь другое 3)Уйти с торговой площади |96 94 4 |
Ты купил блюдо и поблагодарил торгаша. Съев свое аппетитное блюдо ты оправился на собрание.*Когда ты подходил к центру то услышал звук рога. Ты пришел как раз к началу собрания.          |1)Обратить внимание |8 |
На прилавке было много выпечки, но тебе понравилась булочка с изюмом. Пышная, вкусно пахнущая булочка.*Она была размером с десертную тарелку! Твой живот заурчал, подавая знак что не прочь попробовать ее на вкус. Ты залез в карман и обнаружил парочку лунар.*На булочку хватало.          |1)Купить 2)Посмотреть что-нибудь другое 3)Уйти с торговой площади |96 94 4 |
На веревке висели сушеные мышиные уши. Твой отец любил такие поесть перед ужином. Мелкие, как семечки они свисали на веревочке. Много, много мышиных ушей.*Почему то тебе показалось, что для тебя будет мало одних мышиных ушей, но так как ты никогда их не пробовал, то почему бы не взять?*Порывшись в кармане ты достал немного лунар. На 1 веревку с мышиными ушами хватит точно.          |1)Купить 2)Посмотреть что-нибудь другое 3)Уйти с торговой площади |96 94 4 |
На овальной тарелке лежала средних размеров жареная рыба, которая была полита густым медом.*Рядом лежала долька лимона и кусок черного хлеба. Тебе безумно понравился запах жареной рыбы и сладкого меда. Невольно во рту начала собираться слюна. Пошарив в кармане ты нашел пару лунар.*На тарелочку с рыбой тебе хватает.          |1)Купить 2)Посмотреть что-нибудь другое 3)Уйти с торговой площади |96 94 4 |
У палатки с одеждой ты заметил много красивых узорчатых тканей, цветных платьев и рубах, много нарядной одежды, а так же украшений.*Из одежды ты ни в чем не нуждался, а украшения были не дешевыми.*Ты подумал о том, что стоит получить за свою работу лунаров, а после уже вернуться к палатке с одеждой.          |1)Вернуться на торговую площадь 2)Уйти с торговой площади |93 4 |
У палатки с оружием ты заметил много луков, ножей, коротких мечей и даже ножевых бумерангов.*Ножевые бумеранги покупали только те, кого обучали друиды воины. Владение бумерангами считалось редким явлением среди котов, потому что это было крайне тяжелое знание в практике.*Где - то ты слышал, что Ваако владел ножевыми бумерангами. Но не один кот не видел у него их, наверно это были слухи.*В оружии ты не нуждался, тебе все выдадут на тренировке.          |1)Вернуться на торговую площадь 2)Уйти с торговой площади |93 4 |
Возле палатки с алхимией ты заметил много колб, зелий, трав и разнообразных драгоценных камней.*Обычно в этой палатке часто можно встретить друидов и лекарей. Когда ты подошел поближе в нос сильно ударила валериана. Тебя слегка одурманило запахом и ты пошатнулся.*Ты почувствовал расслабление, но тут же собрал себя в руки.*<Валериана> - Опасное растение для котов, даже для человекоподобных. Одурманивает очень быстро, после него сложно прийти в себя.*Ты решил что у палатки с алхимией тебе точно ничего не нужно и решил уйти.          |1)Вернуться на торговую площадь 2)Уйти с торговой площади |93 4 |
Возле палатки с книгами стояло много небольших книжных шкафов. Почти в каждом ряду были деления на жанры - история, все о оружии, котопедия, все о охоте и многое другое.*Так же стоял большой глобус, который был истыкан разноцветными кнопками. Это был глобус старого мира, еще когда жили люди, а коты не эволюционировали до человекоподобных.*Ты решил прочесть названия стран. Крутя глобус в разные стороны ты читал про себя: - Болгария, Италия, Россия, Ватикан.*Какие странные у людей были названия стран. Интересно, а города?*Снова прокручивая глобус ты читаешь: - Берлин, Амстердам, Кишинев, Абу-Даби.*Города показались тебе еще более странными. Ты решил посмотреть литературу.*Названия разных книг мелькали перед твоими глазами. Вдруг, книги тебе наскучили, да и покупать ты ничего не собирался.          |1)Вернуться на торговую площадь 2)Уйти с торговой площади |93 4 |
Ты решил зайти в здание обмена. Менять тебе правда нечего, но почему бы и не посмотреть товары.*Ты открываешь дверь и заходишь внутрь. Внутри ты заметил много полок и шкафов с разнообразными товарами на обмен. Посуда, оружие, одежда и разнообразные драгоценности.*На прилавке с кассой стояли украшения для дам. Серьги, кулоны, браслеты и прочее.*Помещение было достаточно маленьким и скромным. Тусклая лампа освещала шкафы, полки и прилавки. Было очень уютно и как - то по домашнему.*За прилавком стоял <Рой> - владелец магазинчика. Он что - то усердно разглядывал под лупой. Подойдя к прилавку ты сказал:          |1)Привет, Рой! Как жизнь? 2)Молча пройтись по комнате |105 109 |
Рой был старым и глухим котом. Но он еле - еле услышал твое приветствие. Подняв глаза он ответил: - Приветствую, молодежь! Странно видеть тут тебя, обычно ко мне захаживают ваши родители.*Рой смотрел на тебя через свои большие очки с добротой и старался навострить свои уши, что бы лучше слышать что ты говоришь.*- Ты хочешь что нибудь обменять? - сказал Рой достаточно громко.*Ты наклонившись к старику произнес:          |1)Нет, я прогуливаюсь перед собранием |106 |
- Собранием? Рой немного подумал и тут же ответил: - Ах да, собрание. Сегодня же собрание новобранцев, верно. Ты новобранец?*Не успел ты молвить и слова как Рой сам ответил на свой вопрос: - Ты похож на новобранца. Когда то и я был таким же зеленым как ты сейчас, хе - хе. - Рой усмехнулся и присел на стул.*- В одном из боев я потерял ногу. - Рой резко поднимает правую ногу и с грохотом кладет ее на прилавок. Протез был сделан искусно, явно на заказ. Рой улыбнулся и сказал: - Как тебе? Этот протез было сложно достать, искусный мастер его создавал.          |1)Рассмотреть протея Роя 2)Спросить о мастере |107 114 |
Ты пододвинулся ближе что бы рассмотреть протез.*Он был создан из красного сандала, дерева, которое не растет в здешнем лесу. На протезе были вырезаны рисунки котов с луками и письмена.*Ножка протеза была украшена камнями, но не полностью. Кончик ножки был сделан из металла.*- Я так же разглядывал когда его привезли. - С улыбкой сказал Рой.*Ты поднял глаза на Роя и одобрительным взглядом дал понять что протез тебе понравился.*Рой убрал свою ногу с прилавка и смотря на тебя проговорил: - Протез конечно красивый, но настоящая нога была бы куда полезнее.*Ты не мог не согласиться, и в ответ просто кивнул. Взглянув на часы ты понял что тебе пора идти.*Ты дал знак Рою что тебе пора уходить.*- Удачи парень! И постарайся не потерять конечности, хе - хе! - Рой засмеялся, а ты вышел из здания обмена и отправился на собрание.          |1)Отправиться на собрание новобранцев |108 |
Дойдя то центра ты увидел толпящихся котов. Ты присоединился к ним.*Через пару минут прозвучал звук рога.          |1)Обратить внимание |8 |
Ты решил не отвлекать Роя от его дел и просто прошелся по комнате. На удивление он даже не обратил на тебя внимание. Хотя, вспомнив что Рой был практически глухим котом, ты перестал удивляться.*Ты заметил что все полки заставлены разнообразными предметами.*Ты решил осмотреть полки с:          |1)Посудой 2)Оружием 3)Статуэтками |110 112 113 |
На полках с посудой было много старых, но красивых тарелок, мисок, вилок и ложек, ножей.*От искусных работ до старенькой пользованной посуды.*Но самым большим товаром на обмен была красивая овальная тарелка, точно размером с глобус. Ты не знал для чего она, но тебе понравилось то, как выглядела эта тарелка.*Сама тарелка была темно - синего цвета а по краям обрамлена серебряными нитями, каждая из которых по разному была нанесена. В середине тарелки был изображен цветок - лилия.*Лилия тоже была сделана из серебряных нитей. Будто ее рисовали не отрывая руки. Одним движением.*Интересно, на что же можно обменять такую тарелку.          |1)Посмотреть другие полки 2)Уйти из здания обмена |109 111 |
Пора отправляться на собрание новобранцев. Ты вполне успевал к 9:00, поэтому не торопился.*Подходя все ближе к центру ты увидел столпотворение молодых котов. Ты сразу понял что тебе нужно к ним.*Но на подходе ты услышал звук рога.          |1)Обратить внимание |8 |
